Run_ID,Score,Fitness
1,424,338
2,344,194
3,820,670
4,1020,870
5,1196,1046
6,396,310
7,636,486
8,248,98
9,420,420
10,1196,1046
11,624,474
12,676,526
13,236,86
14,1172,1022
15,1356,1206
16,1112,962
17,344,194
18,736,636
19,612,462
20,436,386
21,424,324
22,744,594
23,708,558
24,512,362
25,1040,890
26,712,562
27,1148,998
28,1176,1026
29,632,482
30,968,818
31,620,470
32,996,846
33,396,246
34,748,598
35,1320,1170
36,456,306
37,712,562
38,1268,1118
39,1220,1070
40,1036,886
41,604,454
42,540,390
43,596,446
44,264,114
45,608,458
46,1416,1266
47,568,418
48,584,434
49,472,322
50,1272,1122
51,1412,1262
52,584,434
53,556,406
54,1024,874
55,276,176
56,992,842
57,148,1
58,376,290
59,988,838
60,604,454
61,516,366
62,1228,1078
63,184,34
64,872,722
65,520,370
66,1484,1334
67,868,718
68,252,102
69,608,458
70,152,2
71,600,450
72,692,542
73,536,386
74,352,202
75,544,394
76,628,478
77,860,838
78,1768,1618
79,704,554
80,2712,2562
81,360,210
82,388,238
83,864,714
84,260,110
85,460,310
86,404,254
87,424,274
88,412,262
89,584,434
90,1152,1002
91,1200,1050
92,640,490
93,772,622
94,680,530
95,1620,1470
96,668,518
97,496,346
98,304,154
99,2212,2062
100,564,414
101,572,422
102,412,262
103,468,318
104,320,170
105,920,770
106,612,462
107,684,534
108,580,430
109,768,618
110,1136,986
111,592,442
112,396,246
113,692,542
114,540,390
115,576,426
116,244,94
117,1416,1316
118,2448,2298
119,756,606
120,1088,938
121,700,550
122,348,198
123,1072,922
124,1492,1342
125,688,538
126,1076,926
127,828,678
128,264,114
129,736,586
130,936,786
131,1032,882
132,916,766
133,1304,1154
134,952,802
135,572,422
136,1068,918
137,228,78
138,108,1
139,976,1082
140,616,466
141,192,42
142,772,672
143,676,576
144,608,458
145,628,478
146,1284,1134
147,1676,1526
148,616,466
149,1028,878
150,1180,1030
151,772,622
152,196,46
153,328,178
154,964,814
155,464,314
156,1032,882
157,740,590
158,696,546
159,656,634
160,820,670
161,116,1
162,408,258
163,1088,938
164,1204,1054
165,784,634
166,884,734
167,672,522
168,452,452
169,744,594
170,1120,970
171,608,458
172,544,394
173,348,198
174,884,734
175,788,638
176,1548,1398
177,684,584
178,544,394
179,1308,1158
180,804,654
181,448,298
182,1024,874
183,860,710
184,628,478
185,204,54
186,696,546
187,372,222
188,1140,990
189,548,398
190,428,278
191,204,86
192,536,386
193,1296,1146
194,1080,930
195,484,334
196,700,550
197,640,490
198,1096,946
199,1020,870
200,1204,1054
201,336,186
202,1476,1326
203,712,562
204,892,742
205,792,642
206,1060,910
207,900,750
208,672,522
209,280,130
210,616,466
211,276,126
212,168,18
213,1132,982
214,288,138
215,344,194
216,988,838
217,100,1
218,580,430
219,372,222
220,1100,950
221,488,338
222,640,490
223,588,438
224,2392,2242
225,120,1
226,568,418
227,524,374
228,1328,1178
229,236,86
230,920,770
231,980,830
232,592,492
233,2360,2210
234,296,146
235,744,722
236,596,446
237,532,382
238,672,522
239,768,618
240,1236,1086
241,308,158
242,448,298
243,748,598
244,920,770
245,720,570
246,736,586
247,964,814
248,576,426
249,544,394
250,720,570
251,792,642
252,504,354
253,148,30
254,932,782
255,1052,902
256,696,546
257,708,558
258,432,382
259,564,414
260,220,70
261,628,478
262,696,546
263,620,470
264,1248,1098
265,776,626
266,592,442
267,624,474
268,1052,902
269,316,166
270,728,578
271,700,550
272,584,434
273,544,394
274,892,742
275,556,406
276,652,502
277,1096,946
278,684,534
279,716,566
280,936,786
281,124,1
282,644,494
283,768,618
284,416,266
285,92,1
286,452,302
287,648,498
288,1308,1158
289,764,614
290,712,562
291,796,646
292,140,1
293,212,62
294,424,274
295,1120,970
296,716,566
297,1312,1162
298,376,226
299,680,530
300,456,306
301,336,186
302,688,538
303,1032,882
304,1396,1246
305,620,470
306,800,650
307,572,422
308,632,482
309,532,382
310,1144,994
311,1044,894
312,696,546
313,284,198
314,204,54
315,1304,1154
316,724,574
317,576,426
318,588,438
319,616,466
320,576,426
321,616,466
322,640,490
323,640,490
324,616,466
325,864,714
326,604,454
327,616,516
328,900,750
329,316,166
330,524,374
331,716,566
332,380,294
333,1012,862
334,396,246
335,776,626
336,268,118
337,684,584
338,564,414
339,664,514
340,784,684
341,656,506
342,532,510
343,48,1
344,984,834
345,624,474
346,236,86
347,656,506
348,864,714
349,264,114
350,1640,1490
351,296,146
352,1248,1098
353,812,662
354,1240,1140
355,304,218
356,372,222
357,1148,998
358,724,574
359,728,578
360,604,454
361,628,478
362,624,474
363,600,450
364,724,574
365,608,458
366,264,114
367,660,510
368,1444,1294
369,604,454
370,324,174
371,832,682
372,336,186
373,452,302
374,744,594
375,460,310
376,552,402
377,132,1
378,388,238
379,44,1
380,676,526
381,476,326
382,600,450
383,864,714
384,216,66
385,964,814
386,208,58
387,260,110
388,1144,994
389,700,550
390,724,574
391,1432,1282
392,308,158
393,252,102
394,604,454
395,376,226
396,580,430
397,224,74
