Run_ID,Score,Fitness
1,1320,1170
2,216,66
3,372,222
4,480,330
5,1028,878
6,1152,1002
7,772,622
8,496,346
9,564,414
10,1160,1010
11,484,334
12,252,102
13,852,702
14,880,730
15,616,466
16,616,466
17,292,142
18,748,598
19,216,66
20,632,482
21,1128,978
22,532,382
23,584,434
24,412,262
25,364,278
26,480,330
27,368,268
28,564,414
29,280,130
30,372,222
31,328,178
32,1176,1026
33,360,210
34,560,410
35,444,294
36,596,446
37,924,774
38,1096,946
39,304,154
40,1128,978
41,588,566
42,364,214
43,504,354
44,468,318
45,784,634
46,640,540
47,212,62
48,668,518
49,372,222
50,608,458
51,644,494
52,1268,1118
53,320,170
54,576,426
55,1136,986
56,156,6
57,884,784
58,440,290
59,624,474
60,628,478
61,192,42
62,444,294
63,368,218
64,728,578
65,560,410
66,368,218
67,1376,1226
68,992,842
69,284,134
70,1032,882
71,568,418
72,520,370
73,500,350
74,312,162
75,1108,958
76,1396,1246
77,876,726
78,268,118
79,688,538
80,1088,938
81,216,66
82,432,282
83,96,1
84,1020,870
85,664,514
86,704,554
87,216,66
88,272,122
89,924,774
90,220,70
91,940,1046
92,584,434
93,1336,1186
94,532,382
95,488,338
96,912,762
97,544,394
98,272,122
99,536,386
100,136,1
101,480,330
102,228,78
103,1000,850
104,808,658
105,116,1
106,536,386
107,1280,1130
108,276,126
109,1236,1086
110,224,74
111,552,402
112,144,1
113,376,376
114,600,450
115,192,42
116,1108,958
117,592,442
118,1456,1306
119,380,230
120,424,274
121,2000,1850
122,1028,878
123,424,324
124,604,454
125,384,234
126,540,390
127,168,18
128,756,606
129,504,354
130,124,1
131,540,390
132,584,434
133,384,234
134,224,74
135,56,1
136,208,58
137,800,700
138,272,122
139,964,814
140,436,286
141,432,282
142,512,490
143,248,98
144,196,46
145,648,498
146,704,654
147,384,234
148,700,550
149,712,562
150,152,102
151,752,602
152,660,560
153,688,538
154,976,826
155,412,262
156,612,462
157,740,590
158,452,302
159,524,374
160,308,158
161,256,156
162,224,74
163,372,222
164,492,342
165,612,462
166,572,422
167,952,802
168,1100,950
169,472,322
170,644,494
171,492,342
172,412,262
173,392,242
174,700,650
175,552,402
176,524,374
177,556,406
178,260,110
179,756,606
180,644,494
181,536,514
182,220,70
183,268,118
184,1056,906
185,736,586
186,908,758
187,1040,890
188,288,138
189,284,134
190,1036,886
191,704,554
192,760,660
193,744,594
194,856,706
195,664,564
196,536,386
197,1184,1084
198,524,374
199,740,590
200,560,410
201,328,178
202,584,434
203,560,410
204,328,178
205,1164,1014
206,776,626
207,348,198
208,336,186
209,668,518
210,672,522
211,800,650
212,1392,1292
213,1100,950
214,828,678
215,616,616
216,408,258
217,220,70
218,980,830
219,564,414
220,704,554
221,1156,1006
222,388,238
223,524,374
224,764,614
225,356,206
226,768,618
227,624,524
228,308,158
229,244,94
230,1240,1090
231,600,450
232,588,438
233,1168,1018
234,348,198
235,712,562
236,260,110
237,296,146
238,244,94
239,1236,1086
240,1140,990
241,568,418
242,940,790
243,576,426
244,724,574
245,828,678
246,900,750
247,348,198
248,580,430
249,920,770
250,496,346
251,820,670
252,536,386
253,552,402
254,792,642
255,132,1
256,572,422
257,536,386
258,640,490
259,592,442
260,556,406
261,300,150
262,964,814
263,308,158
264,284,134
265,1276,1126
266,692,542
267,288,138
268,416,266
269,352,202
270,260,110
271,324,174
272,984,834
273,1080,930
274,428,278
275,1324,1174
276,532,432
277,596,446
278,112,1
279,348,198
280,604,454
281,580,430
282,928,778
283,1496,1346
284,1160,1010
285,724,574
286,508,358
287,524,374
288,524,374
289,268,118
290,616,466
291,316,216
292,308,158
293,352,202
294,160,10
295,832,682
296,204,54
297,372,222
298,564,414
299,884,734
300,416,266
301,400,250
302,608,458
303,572,422
304,420,398
305,128,1
306,308,158
307,708,558
308,556,406
309,616,466
310,532,382
311,524,374
312,472,322
313,492,342
314,480,330
315,568,418
316,524,374
317,244,94
318,284,134
319,624,474
320,556,406
321,1076,926
322,484,334
323,1184,1034
324,264,114
325,300,150
326,1072,922
327,492,406
328,436,286
329,348,198
330,644,494
331,336,186
332,500,350
333,196,46
334,336,186
335,624,474
336,288,138
337,632,482
338,1332,1182
339,420,270
