Run_ID,Score,Fitness
1,432,282
2,204,54
3,316,166
4,692,542
5,180,62
6,768,618
7,68,1
8,536,386
9,280,130
10,280,130
11,380,230
12,656,506
13,952,802
14,620,470
15,336,186
16,996,896
17,280,130
18,232,82
19,584,434
20,460,310
21,388,238
22,324,174
23,552,402
24,308,158
25,452,302
26,412,262
27,620,470
28,1104,954
29,288,138
30,164,46
31,324,174
32,736,586
33,268,118
34,304,154
35,228,78
36,100,1
37,252,102
38,308,158
39,624,474
40,572,422
41,264,114
42,1016,866
43,300,150
44,400,250
45,356,206
46,780,630
47,212,62
48,700,550
49,212,62
50,1120,970
51,552,402
52,460,310
53,224,74
54,652,502
55,452,302
56,456,306
57,556,406
58,592,442
59,144,1
60,2164,2014
61,292,142
62,484,334
63,244,94
64,400,250
65,444,294
66,216,66
67,464,314
68,588,438
69,1236,1086
70,632,482
71,1192,1042
72,688,538
73,396,310
74,1004,854
75,192,42
76,128,1
77,672,522
78,380,230
79,44,1
80,228,78
81,80,1
82,696,546
83,604,454
84,280,130
85,476,326
86,496,346
87,968,818
88,588,438
89,260,110
90,264,114
91,580,430
92,404,254
93,128,1
94,380,230
95,544,394
96,256,106
97,268,118
98,756,606
99,176,26
100,172,54
101,468,318
102,644,494
103,372,222
104,652,602
105,1212,1062
106,264,114
107,476,326
108,232,82
109,136,1
110,356,206
111,608,458
112,1312,1162
113,288,138
114,276,126
115,196,46
116,816,666
117,180,30
118,132,1
119,140,1
120,184,66
121,264,114
122,348,198
123,208,58
124,140,1
125,708,558
126,448,298
127,160,10
128,596,446
129,156,6
130,548,398
131,516,366
132,1008,958
133,328,178
134,344,194
135,316,166
136,1396,1246
137,548,398
138,312,162
139,252,102
140,760,610
141,288,138
142,936,836
143,856,706
144,132,1
145,288,138
146,564,414
147,352,202
148,204,54
149,172,22
150,312,162
151,496,346
152,136,1
153,1256,1106
154,1276,1126
155,200,50
156,316,166
157,400,250
158,668,518
159,236,86
160,452,302
161,264,114
162,488,338
163,276,126
164,192,74
165,388,238
166,488,338
167,504,354
168,540,390
169,676,526
170,552,402
171,380,230
172,484,334
173,428,278
174,548,398
175,660,510
176,560,410
177,248,98
178,216,66
179,412,262
180,568,418
181,244,94
182,252,102
183,508,486
184,372,272
185,612,462
186,412,262
187,604,582
188,612,462
189,488,338
190,360,360
191,248,98
192,1064,914
193,288,138
194,276,126
195,352,316
196,232,82
197,964,814
198,352,202
199,560,410
200,496,346
201,580,430
202,260,110
203,196,46
204,240,90
